rang;type_de_document;nombre_de_reservations;titre_avec_lien_vers_le_catalogue;auteur
869;Bande dessinée jeunesse;42;Inazuma eleven. 3;Yabuno, Tenya
873;DVD-vidéo tous publics;42;Young adult;
878;DVD-vidéo tous publics;42;Reality;
880;Livre pour adulte;42;Toscane, Ombrie : 2013;Gloaguen, Philippe
881;Nouveauté disque compact;42;Nova tunes 2.7;
885;DVD-vidéo tous publics;42;True blood. Saison 5;
887;Livre pour adulte;42;Quand les colombes disparurent : roman;Oksanen, Sofi
894;Livre pour adulte;41;Le donjon rouge;Martin, George R. R.
897;Livre jeunesse;41;A la mode de chez nous;Cazenove
902;DVD jeunesse;41;Fantastic Mr. Fox;
913;Nouveauté;41;Liquidations à la grecque : roman;Márkaris, Pétros
914;Bande dessinée pour adulte;41;Le Nao de Brown;Dyllon, Glyn
916;Nouveauté disque compact;41;Le salon des refusées;Diterzi, Claire
919;DVD-vidéo tous publics;41;Une nouvelle chance;
923;DVD-vidéo tous publics;40;Harry Potter à l'école des sorciers;Columbus, Chris
926;Disque compact;40;Voyage;Nah, Youn Sun
928;Livre de section jeunesse > 12 ans;40;Crash;Muchamore, Robert
945;;40;Pour trois couronnes : roman;Garde, François
949;DVD-vidéo tous publics;39;Chantons sous la pluie;Kelly, Gene
962;DVD-vidéo tous publics;39;Very bad trip;
963;Livre pour adulte;39;Le trône de fer : l'intégrale. 3;Martin, George R. R.
967;DVD-vidéo tous publics;39;Les amours imaginaires;
980;Livre pour adulte;39;Les filles au chocolat. 3. Coeur mandarine;Cassidy, Cathy
987;DVD-vidéo tous publics;39;Violence et passion;
989;DVD-vidéo tous publics;39;Mariage à l'anglaise;
990;Bande dessinée jeunesse >12 ans;38;Une jeune fille en pleurs;Oda, Eiichiro
992;DVD-vidéo tous publics;38;Six feet under . :;
4;Nouveauté;455;1Q84. 3. Octobre-décembre;Murakami, Haruki
6;Livre de section jeunesse > 12 ans;435;L'embrasement;Collins, Suzanne
11;Bande dessinée pour adulte;405;Quai d'Orsay : chroniques diplomatiques. 1;Blain, Christophe
23;;299;Les apparences;Flynn, Gillian
30;;272;Heureux les heureux;Reza, Yasmina
32;Nouveauté;266;Un sentiment plus fort que la peur : roman;Lévy, Marc
39;Livre pour adulte;249;Une place à prendre;Rowling, Joanne Kathleen
42;;244;Amour;
452;Bande dessinée jeunesse;65;Sale temps pour les moches;Delaf
453;Livre pour adulte;65;Fairy Tail. 5;Mashima, Hiro
461;Livre pour adulte;65;Amsterdam et ses environs : 2013 : + Rotterdam, Delft et La Haye;Gloaguen, Philippe
462;DVD en audio-description;65;Associés contre le crime...;
465;;65;Ils vivent la nuit;Lehane, Dennis
474;Bande dessinée jeunesse;63;Main du futur;Sobral, Patrick
475;Bande dessinée pour adulte;63;Les chasseurs;Kirkman, Robert
477;Nouveauté;63;Sous haute tension;Coben, Harlan
482;DVD-vidéo tous publics;63;Frankenweenie;
484;Nouveauté disque compact;63;Lento;Sun Nah, Youn
486;Nouveauté;63;Le garçon incassable;Seyvos, Florence
487;;63;Billie;Gavalda, Anna
490;Bande dessinée jeunesse >12 ans;62;Les liens de l'amitié;Delaf
496;Livre pour adulte;62;Arab jazz;Hamy, Viviane
508;Bande dessinée jeunesse;61;Chi, une vie de chat. 5;Konami, K.
509;Livre pour adulte;61;Voile rouge : une enquête de Kay Scarpetta;Cornwell, Patricia
514;Bande dessinée jeunesse >12 ans;60;Aux prises avec baggy et ses hommes !;Oda, Eiichiro
516;Bande dessinée jeunesse >12 ans;60;Fairy Tail. 7;Mashima, Hiro
518;DVD-vidéo tous publics;60;Damages;
523;Livre pour adulte;60;Adèle et moi : roman;Wolkenstein, Julie
533;Livre pour adulte;59;Berlin : 2012;Gloaguen, Philippe
536;Bande dessinée pour adulte;59;Vingt-trois prostituées;Brown, Chester
538;Livre pour adulte;59;Le capital au XXIe siècle;Piketty, Thomas
548;DVD-vidéo tous publics;58;Le capital;
564;Nouveauté disque compact;57;Recto verso;Zaz
568;DVD-vidéo tous publics;56;A propos d'Elly;
572;Disque compact;56;Wind;Maalouf, Ibrahim
575;DVD- vidéo > 12 ans;56;Real Humans;
576;Livre pour adulte;56;Purgatoire des innocents;Giebel, Karine
577;DVD-vidéo tous publics;56;20 ans d'écart;
592;Livre jeunesse;54;Nuit étoilée;Hunter, Erin
604;DVD-vidéo tous publics;54;Sous surveillance;
611;;53;Steve Jobs;Isaacson, Walter
612;Livre pour adulte;53;Barcelone : 2012;Gloaguen, Philippe
615;Livre pour adulte;53;Thaïlande;
617;Nouveauté disque compact;53;Coexist;
619;DVD-vidéo tous publics;53;Les enfants de Belle Ville;
623;DVD-vidéo tous publics;53;Le monde de Charlie;
628;Bande dessinée jeunesse;52;Une vie de souffrance;Kirkman, Robert
632;Livre jeunesse;52;Crépuscule;Hunter, Erin
636;;52;La formule de Dieu : l'énigme d'Einstein;Santos, José Rodrigues dos
642;Livre pour adulte;51;Faire l'amour : roman;Toussaint, Jean-Philippe
647;Bande dessinée jeunesse;51;Danaël;Sobral, Patrick
648;Nouveauté;51;Avenue des géants;Dugain, Marc
654;DVD- vidéo > 12 ans;51;Les revenants;
656;Nouveauté;51;Le flûtiste invisible : roman;Labro, Philippe
657;Livre pour adulte;51;La conjuration primitive : roman;Chattam, Maxime
661;DVD- vidéo > 12 ans;50;Sur écoute . :;Johnson, Clark
671;Livre jeunesse;50;Coeur guimauve;Cassidy, Cathy
674;Livre pour adulte;50;Corse : 2013;Gloaguen, Philippe
675;Livre pour adulte;50;Un avion sans elle : roman;Bussi, Michel
687;Livre pour adulte;49;Amsterdam et ses environs : 2012 : + Rotterdam, Delft et La Haye;Gloaguen, Philippe
698;Nouveauté disque compact;49;Delta machine;
706;Bande dessinée jeunesse >12 ans;48;A l'aube d'une grande aventure;Oda, Eiichiro
709;DVD-vidéo tous publics;48;Les noces rebelles;
711;DVD-vidéo tous publics;48;La jetée : un photo-roman;
718;DVD-vidéo tous publics;48;Men in Black 3;
720;Disque compact;48;Unapologetic;Rihanna
734;Livre jeunesse;47;Journal d'un dégonflé : carnet de bord de Greg Heffley;Kinney, Jeff
741;DVD-vidéo tous publics;47;Red;
742;DVD-vidéo tous publics;47;Biutiful;
745;Livre pour adulte;47;Gatsby le Magnifique;Fitzgerald, Francis Scott
751;Nouveauté;47;Impurs : roman;Vann, David
763;Bande dessinée jeunesse;46;Chi, une vie de chat. 1;Konami, K.
772;Livre pour adulte;46;Sur les épaules de Darwin, sur les épaules des géants : les battements du temps;Ameisen, Jean-Claude
775;Nouveauté;46;Vertiges : roman;Duroy, Lionel
777;DVD jeunesse;45;Mon oncle;Tati, Jacques
789;DVD-vidéo tous publics;45;Syngué Sabour;
790;Nouveauté;45;Chrysis : portrait de l'amour;Fergus, Jim
792;Livre pour adulte;44;Un bonheur parfait;Salter, James
804;;44;Terres de sang : l'Europe entre Hitler et Staline;Snyder, Timothy
820;Bande dessinée jeunesse >12 ans;43;Un chemin en pente raide;Oda, Eiichiro
825;Livre pour adulte;43;Travail soigné : une enquete de Camille Verhoeven;Lemaître, Pierre
832;Disque compact;43;Poor boy, Lucky man;Avidan, Asaf
856;Bande dessinée jeunesse >12 ans;42;Pour qui sonne le glas;Oda, Eiichiro
862;Bande dessinée pour adulte;42;Maus : un survivant raconte;Spiegelman, Art
863;Livre jeunesse;42;La guerre des clans : la dernière prophétie. 3. Aurore;Hunter, Erin
864;Bande dessinée jeunesse;42;C'est nikol crème !;Cazenove, Christophe
867;Livre pour adulte;42;Le passager;Grangé, Jean-Christophe
871;DVD- vidéo > 12 ans;42;Un prophète;
875;Disque compact;42;Lonerism;
879;DVD en audio-description;42;Taken 2;
882;Nouveauté;42;Histoire d'une femme libre : récit;Giroud, Françoise
890;DVD-vidéo tous publics;42;A la merveille;
893;DVD-vidéo tous publics;41;Harry Potter et la coupe de feu;Newell, Mike
895;Bande dessinée pour adulte;41;Les gouttes de Dieu. 2;Agi, Tadashi
901;Livre pour adulte;41;Naples et la Côte amalfitaine;Bonetto, Cristian
903;DVD-vidéo tous publics;41;Breaking bad. Saison 2. épisodes 1 à 7;
905;DVD-vidéo tous publics;41;Somewhere;
910;Livre pour adulte;41;Iles grecques et Athènes;
911;Bande dessinée jeunesse;41;Koibana : l'amour malgré tout. 3;Nagamu, Nanaji
917;DVD-vidéo tous publics;41;J'enrage de son absence;
927;Livre de section jeunesse > 12 ans;40;Mad dogs;Muchamore, Robert
930;DVD-vidéo tous publics;40;La menace fantôme;Lucas, George
933;Bande dessinée pour adulte;40;Fairy Tail. 22;Mashima, Hiro
937;DVD-vidéo tous publics;40;Mains armées;
942;Nouveauté;40;Je suis un homme : roman;Nimier, Marie
944;Livre pour adulte;40;Girl on fire;Keys, Alicia
951;Livre pour adulte;39;La stratégie Ender;Card, Orson Scott
955;Livre jeunesse;39;A la dérive;Muchamore, Robert
934;;40;Les anges de New York;Ellory, Roger Jon
935;Bande dessinée jeunesse;40;Switch girl !!. 17;Aida, Natsumi
938;DVD- vidéo > 12 ans;40;Engrenages. Saison 4. épisodes 1 à 3 ; Alexandra Clert, Guy-Patrick Sainderichin, adapt., Thierry Godard, Audrey Fleurot, Philippe Duclos, Grégory Fitoussi, Caroline Proust, ... act.;
940;Livre pour adulte;40;Ethno-roman;Nathan, Tobie
943;DVD-vidéo tous publics;40;Gangs of Wasseypur;
947;DVD-vidéo tous publics;40;Boardwalk Empire : Saison 3;
950;Livre pour adulte;39;Les grand-mères;Lessing, Doris
959;Bande dessinée jeunesse;39;Fairy Tail. 11;Mashima, Hiro
965;Nouveauté;39;La rivière noire;Arnaldur Indridason
966;Livre pour adulte;39;Dôme. 1;King, Stephen
968;Livre de section jeunesse > 12 ans;39;Promise;Condie, Ally
979;Nouveauté disque compact;39;Sun;
982;Nouveauté;39;Le cercle : thriller;Minier, Bernard
984;;39;La maison des anges : roman;Bruckner, Pascal
986;Nouveauté disque compact;39;Le cadeau;Le Forestier, Maxime
994;DVD-vidéo tous publics;38;La nuit nous appartient;Gray, James
2;;628;Cinquante nuances de Grey : roman;James, E. L.
956;Livre de section jeunesse > 12 ans;39;La Cité des ténèbres. 1. La coupe mortelle;Clare, Cassandra
969;Livre pour adulte;39;Black swan;
972;;39;Ce qu'il advint du sauvage blanc : roman;Garde, François
973;DVD-vidéo tous publics;39;Un monstre à Paris;
974;DVD-vidéo tous publics;39;L'ordre et la morale;
976;Bande dessinée pour adulte;39;Les autres gens. 6-7;Cadène, Thomas
977;DVD-vidéo tous publics;39;Detachment;
985;Livre pour adulte;39;Sicile : 2013;Gloaguen, Philippe
988;Livre pour adulte;39;Dans l'ombre des Tudors;Mantel, Hilary
993;DVD-vidéo tous publics;38;A nos amours;Pialat, Maurice
997;Livre pour adulte;38;World war Z : une histoire orale de la guerre des zombies;Brooks, Max
999;Bande dessinée jeunesse;38;Marie-Lune. 2. Au secours, j'ai perdu ma meilleure amie !;Douyé, Sylvia
