rang;type_de_document;nombre_de_reservations;titre_avec_lien_vers_le_catalogue;auteur
215;Nouveauté;101;L'herbe des nuits : roman;Modiano, Patrick
216;DVD-vidéo tous publics;101;No;
227;Disque compact;98;An awesome wave;
229;DVD-vidéo tous publics;98;Paperboy;
238;Disque compact;96;Aventine;Obel, Agnes
242;DVD-vidéo tous publics;95;Jack Reacher;
266;DVD-vidéo tous publics;90;Carnage;
268;Nouveauté;90;Petites scènes capitales;Germain, Sylvie
272;Livre pour adulte;89;Dans le jardin de la bête;Larson, Erik
277;Nouveauté;89;La fin de l'homme rouge ou Le temps du désenchantement;Alexievitch, Svetlana
282;DVD-vidéo tous publics;87;Sur écoute : Intégrale Saison 1;
287;DVD- vidéo > 12 ans;87;Spring Breakers;
289;Bande dessinée pour adulte;86;Polina;Vivès, Bastien
294;Nouveauté;86;Une femme aimée : roman;Makine, Andreï
296;DVD-vidéo tous publics;86;Blancanieves;
302;Livre pour adulte;85;Brunetti et le mauvais augure;Leon, Donna
306;DVD-vidéo tous publics;84;Mad men : saison 2;Hamm, Jon
313;;83;Théorème vivant;Villani, Cédric
317;Livre jeunesse;82;Le trône de fer;Martin, Georges R. R.
323;Bande dessinée pour adulte;81;Amour et mort;Kirkman, Robert
330;Livre pour adulte;80;Fugitives;Munro, Alice
337;Nouveauté;80;Les joyaux du Paradis;Leon, Donna
349;DVD-vidéo tous publics;78;2 days in New York;
350;DVD jeunesse;78;L'âge de glace 4;
361;Nouveauté disque compact;76;Django unchained : the new film by Quentin Tarantino : original motion picture soundtrack;
367;DVD-vidéo tous publics;75;Downton Abbey. Saison 1. Disque 1;
369;Bande dessinée jeunesse;74;Chi, une vie de chat. 3;Konami, K.
371;DVD-vidéo tous publics;74;Les marches du pouvoir;
379;Nouveauté;72;L'hypnotiseur;Kepler, Lars
382;Livre pour adulte;72;Le dernier Lapon;Truc, Olivier
385;Nouveauté;72;Incurables;Kepler, Lars
391;Livre pour adulte;71;60 activités Montessori pour mon bébé : 0-2 ans : préparer son univers, l'éveiller et l'aider à faire seul;Place, Marie-Hélène
398;DVD-vidéo tous publics;70;LE HAVRE;
402;Livre pour adulte;69;1984;Orwell, George
403;Bande dessinée jeunesse;69;Journal infime;Neel, Julien
408;Bande dessinée pour adulte;69;Apollinaire;Birmant, Julie
410;DVD-vidéo tous publics;69;Passion;
412;Bande dessinée pour adulte;68;L'empire de monsieur Joseph;Nury, Fabien
415;Bande dessinée pour adulte;68;Vengeance;Kirkman, Robert
428;Livre pour adulte;67;Italie du Nord : 2012 : sans la Toscane, l'Ombrie, les lacs italiens et Venise;Gloaguen, Philippe
429;;67;Némésis : roman;Roth, Philip
437;Bande dessinée jeunesse >12 ans;66;Fairy Tail. 2;Mashima, Hiro
443;Livre pour adulte;66;Un avion sans elle : roman;Bussi, Michel
444;Bande dessinée jeunesse;66;Les terres basses;Vehlmann, Fabien
457;Bande dessinée jeunesse;65;Chi, une vie de chat. 6;Konami, Kanata
458;Livre pour adulte;65;Rome;Gloaguen, Philippe
464;Nouveauté disque compact;65;Push the sky away;Cave, Nick
468;Nouveauté;65;Faber : le destructeur : roman;Garcia, Tristan
469;DVD jeunesse;64;Harry Potter et le Prince de sang-mêlé;Yates, David
470;DVD-vidéo > 16 ans;64;Vénus noire;
481;DVD- vidéo > 12 ans;63;Total Recall : mémoires programmées;
483;Disque compact;63;Different pulses;Avidan, Asaf
491;Bande dessinée jeunesse >12 ans;62;Fairy Tail. 1;Mashima, Hiro
503;Livre de section jeunesse > 12 ans;61;Trafic : mission 2;Muchamore, Robert
515;DVD-vidéo tous publics;60;Hiroshima mon amour;Resnais, Alain
517;Livre pour adulte;60;Myanmar (Birmanie);Allen, John
3;Livre pour adulte;599;La liste de mes envies;Delacourt, Grégoire
22;;311;Cinquante nuances plus claires : roman;James, E.L.
27;;274;Méditer, jour après jour : 25 leçons pour vivre en pleine conscience;André, Christophe
31;Nouveauté;271;Je vais mieux : roman;Foenkinos, David
37;DVD-vidéo tous publics;253;De rouille et d'os;
50;Nouveauté;219;Esprit d'hiver;Kasischke, Laura
52;Nouveauté;214;L'extraordinaire voyage du fakir qui était resté coincé dans une armoire Ikea;Puértolas, Romain
61;Nouveauté;189;L'invention de nos vies : roman;Tuil, Karine
69;DVD-vidéo tous publics;180;Le prénom;
