fra;week;P_f;P_h;P;T_f;T_h;T;cl_age90
FR;2020-S37;842;611;1458;20658;13913;34640;89
FR;2020-S37;607;191;798;11055;3539;14627;90
FR;2020-S37;33360;30979;64667;614166;514798;1135249;0
FR;2020-S38;1274;1445;2774;43125;47284;92562;09
FR;2020-S38;5724;5750;11604;97451;98828;199094;19
FR;2020-S38;9974;9852;19864;110269;88023;198706;29
FR;2020-S38;6266;5508;11804;104151;78287;182761;39
FR;2020-S38;5424;4619;10067;86632;66461;153334;49
FR;2020-S38;4653;4059;8728;70966;54327;125483;59
FR;2020-S38;2610;2575;5201;46980;42127;89297;69
FR;2020-S38;1425;1441;2869;29630;28197;57911;79
FR;2020-S38;1102;757;1861;20839;13994;34923;89
FR;2020-S38;705;240;945;11675;3800;15553;90
FR;2020-S38;39175;36266;75775;621904;521586;1150129;0
FR;2020-S39;863;914;1812;16997;19502;37294;09
FR;2020-S39;5381;5347;10838;77806;78767;158473;19
FR;2020-S39;9970;9527;19530;97236;78781;176367;29
FR;2020-S39;6111;5508;11629;78059;62504;140753;39
FR;2020-S39;5315;4565;9888;69468;55629;125267;49
FR;2020-S39;4758;4211;8976;62520;50220;112904;59
FR;2020-S39;2764;2701;5470;42906;39184;82206;69
FR;2020-S39;1502;1603;3109;28096;27016;55181;79
FR;2020-S39;1110;789;1903;19221;13090;32362;89
FR;2020-S39;638;220;860;10346;3425;13824;90
FR;2020-S39;38434;35412;74081;502867;428382;935162;0
FR;2020-S40;838;843;1732;11717;13372;25671;09
FR;2020-S40;5429;5386;10958;66027;66514;134129;19
FR;2020-S40;10094;9587;19720;88272;73503;162120;29
FR;2020-S40;6799;5977;12789;69883;58107;128155;39
FR;2020-S40;6175;5290;11479;62824;50951;113903;49
FR;2020-S40;5352;4807;10173;58438;48473;107029;59
FR;2020-S40;3115;3013;6145;41749;39230;81110;69
FR;2020-S40;1775;1834;3614;27226;26411;53696;79
FR;2020-S40;1252;857;2112;19083;12986;32105;89
FR;2020-S40;813;290;1107;10492;3586;14292;90
FR;2020-S40;41657;37902;79878;455903;393409;852720;0
FR;2020-S41;1310;1414;2801;13960;15604;30287;09
FR;2020-S41;7782;7941;15919;75322;76366;153733;19
FR;2020-S41;14090;12692;26833;98140;81432;179929;29
FR;2020-S41;10739;9586;20357;83175;69052;152423;39
FR;2020-S41;10057;8661;18746;75103;62204;137465;49
FR;2020-S41;8691;7969;16684;68724;56850;125708;59
FR;2020-S41;5293;5052;10373;48223;44815;93242;69
FR;2020-S41;2880;2883;5766;29881;28798;58714;79
FR;2020-S41;2152;1478;3632;20911;13956;34903;89
FR;2020-S41;1333;407;1741;11596;3689;15314;90
FR;2020-S41;64342;58109;122913;525246;453034;982251;0
FR;2020-S42;1841;1929;3874;18675;21083;40817;09
FR;2020-S42;10763;10648;21701;96885;97814;197573;19
FR;2020-S42;18038;15550;33629;115847;95270;211449;29
FR;2020-S42;15502;13116;28665;107646;86097;193962;39
FR;2020-S42;14712;12550;27302;101333;81151;182674;49
FR;2020-S42;12906;11590;24525;86962;70849;157956;59
FR;2020-S42;8229;7971;16257;59057;53378;112953;69
FR;2020-S42;4575;4649;9228;34871;32829;67730;79
FR;2020-S42;3709;2437;6147;25350;16207;41586;89
FR;2020-S42;2474;751;3226;15296;4692;20019;90
FR;2020-S42;92779;81220;174628;662148;559671;1227291;0
FR;2020-S43;2542;2586;5241;20415;22681;44143;09
FR;2020-S43;13736;13354;27467;86626;83536;172637;19
FR;2020-S43;27218;23106;50425;141157;115656;257352;29
FR;2020-S43;24731;20817;45588;129330;106233;235823;39
FR;2020-S43;23415;20266;43729;121164;98459;219864;49
FR;2020-S43;21459;19101;40602;109768;88057;198045;59
FR;2020-S43;13696;13260;27009;71706;64660;136754;69
FR;2020-S43;8230;8057;16297;42305;38680;81062;79
FR;2020-S43;7264;4524;11797;32718;19658;52449;89
FR;2020-S43;4988;1617;6614;21281;6198;27539;90
FR;2020-S43;147326;126743;274885;776752;644129;1426296;0
FR;2020-S44;3506;3629;7330;22205;24625;48011;09
FR;2020-S44;17943;17039;35480;83839;79857;166070;19
FR;2020-S44;30082;24703;54887;146736;121794;269057;29
FR;2020-S44;29246;24071;53392;140637;117249;258207;39
FR;2020-S44;28966;23841;52873;131548;108304;240141;49
FR;2020-S44;26646;23757;50452;128070;102931;231239;59
FR;2020-S44;18039;16948;35069;88795;78545;167841;69
FR;2020-S44;11025;10724;21776;52318;47280;99703;79
FR;2020-S44;9159;5935;15102;39962;23520;63552;89
FR;2020-S44;6013;1940;7962;26054;7385;33492;90
FR;2020-S44;180683;152651;334502;860481;711879;1578096;0
FR;2020-S45;4166;4468;8836;26117;28086;55410;09
FR;2020-S45;18059;17844;36397;89386;87546;179362;19
FR;2020-S45;23045;18944;42068;118814;98874;218167;29
FR;2020-S45;23872;18821;42753;124735;100859;225893;39
FR;2020-S45;23819;19753;43633;121925;98535;220793;49
FR;2020-S45;22604;20641;43294;118593;96925;215818;59
FR;2020-S45;15996;15228;31297;84415;75070;159992;69
FR;2020-S45;10581;10081;20682;52428;46817;99355;79
FR;2020-S45;9204;5829;15056;42047;24138;66324;89
FR;2020-S45;6136;2005;8150;27471;7779;35311;90
FR;2020-S45;157536;133675;292334;806245;664941;1477129;0
FR;2020-S46;2763;2819;5703;19562;21272;41727;09
FR;2020-S46;10755;10514;21538;73301;71572;146877;19
FR;2020-S46;12143;9608;21799;73803;59330;133544;29
FR;2020-S46;12563;9776;22361;82010;63678;145907;39
FR;2020-S46;13173;10509;23710;82512;65158;147876;49
FR;2020-S46;12934;11202;24168;80243;65261;145717;59
FR;2020-S46;8724;8413;17189;56881;51494;108748;69
FR;2020-S46;6315;6140;12464;39063;35143;74300;79
FR;2020-S46;7271;4235;11518;34083;19620;53766;89
FR;2020-S46;5491;1669;7169;22527;6403;28983;90
FR;2020-S46;92172;74923;167722;564231;459181;1028002;0
FR;2020-S47;1888;2013;4030;15598;17274;33654;09
FR;2020-S47;6543;6664;13367;53909;53477;109010;19
FR;2020-S47;7081;5505;12625;54030;43078;97433;29
FR;2020-S47;7536;5690;13242;61872;46851;108899;39
FR;2020-S47;8081;6247;14346;60531;47506;108219;49
FR;2020-S47;7436;6437;13899;58709;47725;106598;59
FR;2020-S47;4876;4719;9630;43860;39922;84020;69
FR;2020-S47;3715;3552;7276;32146;29958;62179;79
FR;2020-S47;5075;2850;7936;27647;16938;44653;89
FR;2020-S47;4142;1190;5336;17092;5008;22154;90
FR;2020-S47;56424;44909;101895;425586;347988;777476;0
FR;2020-S48;1081;1146;2278;11304;12858;24689;09
FR;2020-S48;3964;3975;8050;35898;36177;73200;19
FR;2020-S48;4544;3346;7914;41666;32920;74863;29
FR;2020-S48;4854;3490;8363;47121;36033;83356;39
FR;2020-S48;5072;3824;8919;44705;36204;81101;49
FR;2020-S48;4838;4020;8878;44998;36974;82163;59
FR;2020-S48;2911;2802;5728;35884;33741;69891;69
FR;2020-S48;2437;2324;4766;27054;25898;53038;79
FR;2020-S48;3812;1986;5810;22754;14456;37272;89
FR;2020-S48;3183;940;4128;13375;4132;17533;90
FR;2020-S48;36709;27869;64868;324888;269555;597419;0
