id_compteur;nom_compteur;id;name;sum_counts;date;installation_date;coordinates;counter;
100007049-102007049;28 boulevard Diderot E-O;100007049;28 boulevard Diderot;41.0;2022-11-11T18:00:00+01:00;2013-01-18;48.84613,2.37559;Y2H21015011;
100007049-102007049;28 boulevard Diderot E-O;100007049;28 boulevard Diderot;31.0;2022-11-11T19:00:00+01:00;2013-01-18;48.84613,2.37559;Y2H21015011;
100007049-102007049;28 boulevard Diderot E-O;100007049;28 boulevard Diderot;7.0;2022-11-11T21:00:00+01:00;2013-01-18;48.84613,2.37559;Y2H21015011;
100007049-102007049;28 boulevard Diderot E-O;100007049;28 boulevard Diderot;7.0;2022-11-11T22:00:00+01:00;2013-01-18;48.84613,2.37559;Y2H21015011;
100007049-102007049;28 boulevard Diderot E-O;100007049;28 boulevard Diderot;14.0;2022-11-11T23:00:00+01:00;2013-01-18;48.84613,2.37559;Y2H21015011;
100007049-102007049;28 boulevard Diderot E-O;100007049;28 boulevard Diderot;11.0;2022-11-11T01:00:00+01:00;2013-01-18;48.84613,2.37559;Y2H21015011;
100007049-102007049;28 boulevard Diderot E-O;100007049;28 boulevard Diderot;5.0;2022-11-11T04:00:00+01:00;2013-01-18;48.84613,2.37559;Y2H21015011;
100007049-102007049;28 boulevard Diderot E-O;100007049;28 boulevard Diderot;25.0;2022-11-11T07:00:00+01:00;2013-01-18;48.84613,2.37559;Y2H21015011;
100007049-102007049;28 boulevard Diderot E-O;100007049;28 boulevard Diderot;20.0;2022-11-11T10:00:00+01:00;2013-01-18;48.84613,2.37559;Y2H21015011;
100007049-102007049;28 boulevard Diderot E-O;100007049;28 boulevard Diderot;25.0;2022-11-11T13:00:00+01:00;2013-01-18;48.84613,2.37559;Y2H21015011;
100007049-102007049;28 boulevard Diderot E-O;100007049;28 boulevard Diderot;28.0;2022-11-11T14:00:00+01:00;2013-01-18;48.84613,2.37559;Y2H21015011;
100007049-102007049;28 boulevard Diderot E-O;100007049;28 boulevard Diderot;28.0;2022-11-11T20:00:00+01:00;2013-01-18;48.84613,2.37559;Y2H21015011;
100007049-102007049;28 boulevard Diderot E-O;100007049;28 boulevard Diderot;10.0;2022-11-11T00:00:00+01:00;2013-01-18;48.84613,2.37559;Y2H21015011;
100007049-102007049;28 boulevard Diderot E-O;100007049;28 boulevard Diderot;2.0;2022-11-11T02:00:00+01:00;2013-01-18;48.84613,2.37559;Y2H21015011;
100007049-102007049;28 boulevard Diderot E-O;100007049;28 boulevard Diderot;9.0;2022-11-11T06:00:00+01:00;2013-01-18;48.84613,2.37559;Y2H21015011;
100007049-102007049;28 boulevard Diderot E-O;100007049;28 boulevard Diderot;8.0;2022-11-11T08:00:00+01:00;2013-01-18;48.84613,2.37559;Y2H21015011;
100007049-102007049;28 boulevard Diderot E-O;100007049;28 boulevard Diderot;22.0;2022-11-11T16:00:00+01:00;2013-01-18;48.84613,2.37559;Y2H21015011;
100007049-102007049;28 boulevard Diderot E-O;100007049;28 boulevard Diderot;20.0;2022-11-11T17:00:00+01:00;2013-01-18;48.84613,2.37559;Y2H21015011;
