"2018-11-12";10.9
"2018-11-13";12.55
"2018-11-14";9.9
"2018-11-15";9.1
"2018-11-16";7.65
"2018-11-17";5.65
"2018-11-18";5.35
"2018-11-19";3.4
"2018-11-20";2.45
"2018-11-21";2.45
"2018-11-22";3.35
"2018-11-23";5.0
"2018-11-24";7.4
"2018-11-25";7.0
"2018-11-26";5.75
"2018-11-27";8.15
"2018-11-28";9.05
"2018-11-29";12.45
"2018-11-30";11.25
"2018-12-01";9.6
"2018-12-02";13.2
"2018-12-03";13.15
"2018-12-04";10.85
"2018-12-05";10.4
"2018-12-06";12.3
"2018-12-07";10.4
"2018-12-08";9.7
"2018-12-09";10.3
"2018-12-10";9.0
"2018-12-11";6.6
"2018-12-12";2.95
"2018-12-13";2.25
"2018-12-14";0.75
"2018-12-15";1.55
"2018-12-16";4.15
"2018-12-17";6.6
"2018-12-18";6.45
"2018-12-19";9.1
"2018-12-20";9.55
"2018-12-21";11.6
"2018-12-22";12.15
"2018-12-23";11.8
"2018-12-24";8.45
"2018-12-25";4.85
"2018-12-26";1.3
"2018-12-27";-0.25
"2018-12-28";1.0
"2018-12-29";4.9
"2018-12-30";8.25
"2018-12-31";9.2
