time;gFx;gFy;gFz;ax;ay;az;wx;wy;wz;P
1.288;0.02;0.01;1.00;-0.01;0.00;0.00;-0.00;0.00;0.00;0.00
1.289;0.02;0.00;1.00;-0.01;0.00;0.00;-0.00;0.00;0.00;0.00
1.289;0.02;0.00;1.00;-0.01;0.00;0.00;-0.00;0.00;0.00;0.00
1.29;0.02;0.01;1.00;-0.01;0.00;0.00;-0.00;0.00;0.00;0.00
1.29;0.02;0.01;1.00;-0.00;0.01;0.00;-0.00;0.00;0.00;0.00
1.339;0.02;0.01;1.00;-0.00;0.01;0.00;-0.00;0.00;0.00;0.00
1.356;0.02;0.01;1.00;0.00;0.00;-0.00;-0.00;0.00;0.00;0.00
1.361;0.03;0.00;1.00;0.00;0.00;-0.00;-0.00;0.00;0.00;0.00
1.362;0.02;0.00;1.00;0.00;0.00;-0.00;-0.00;0.00;0.00;0.00
1.363;0.02;0.00;1.00;0.00;0.00;-0.00;-0.00;0.00;0.00;0.00
1.399;0.02;0.00;1.00;0.00;0.00;-0.00;-0.00;-0.00;-0.00;0.00
1.409;0.02;0.00;1.00;-0.00;0.00;-0.01;-0.00;-0.00;-0.00;0.00
1.43;0.02;0.01;1.00;-0.00;0.00;-0.01;-0.00;-0.00;-0.00;0.00
1.432;0.02;0.00;1.00;-0.00;0.00;-0.01;-0.00;-0.00;-0.00;0.00
1.433;0.02;0.00;1.00;-0.00;0.00;-0.01;-0.00;-0.00;-0.00;0.00
1.434;0.02;0.01;1.00;-0.00;0.00;-0.01;-0.00;-0.00;-0.00;0.00
1.46;0.02;0.01;1.00;-0.00;0.00;-0.01;0.00;-0.00;-0.00;0.00
1.47;0.02;0.01;1.00;0.00;-0.01;0.01;0.00;-0.00;-0.00;0.00
1.504;0.02;0.00;1.00;0.00;-0.01;0.01;0.00;-0.00;-0.00;0.00
1.505;0.02;0.00;1.00;0.00;-0.01;0.01;0.00;-0.00;-0.00;0.00
1.506;0.02;0.00;1.00;0.00;-0.01;0.01;0.00;-0.00;-0.00;0.00
1.52;0.02;0.00;1.00;0.00;-0.01;0.01;-0.00;-0.00;-0.00;0.00
1.53;0.02;0.00;1.00;-0.00;0.00;0.00;-0.00;-0.00;-0.00;0.00
1.57;0.02;0.01;1.00;-0.00;0.00;0.00;-0.00;-0.00;-0.00;0.00
1.571;0.03;0.00;1.00;-0.00;0.00;0.00;-0.00;-0.00;-0.00;0.00
1.572;0.02;0.00;1.00;-0.00;0.00;0.00;-0.00;-0.00;-0.00;0.00
1.573;0.02;0.00;1.00;-0.00;0.00;0.00;-0.00;-0.00;-0.00;0.00
1.581;0.02;0.00;1.00;-0.00;0.00;0.00;0.00;0.00;0.00;0.00
1.59;0.02;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1.64;0.02;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1.641;0.02;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1.643;0.02;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1.643;0.02;0.00;1.00;0.00;0.00;0.00;-0.00;0.00;0.00;0.00
1.65;0.02;0.00;1.00;0.00;-0.00;-0.00;-0.00;0.00;0.00;0.00
1.701;0.02;0.00;1.00;0.00;-0.00;-0.00;-0.00;-0.00;0.00;0.00
1.709;0.02;0.01;1.00;0.00;-0.00;-0.00;-0.00;-0.00;0.00;0.00
1.71;0.02;0.00;1.00;0.00;-0.00;-0.00;-0.00;-0.00;0.00;0.00
1.711;0.02;0.00;1.00;0.00;-0.00;-0.00;-0.00;-0.00;0.00;0.00
1.712;0.02;0.01;1.00;0.00;-0.00;-0.00;-0.00;-0.00;0.00;0.00
1.713;0.02;0.01;1.00;0.00;0.00;-0.01;-0.00;-0.00;0.00;0.00
1.762;0.02;0.01;1.00;0.00;0.00;-0.01;0.00;0.00;-0.00;0.00
1.773;0.02;0.01;1.00;0.00;0.00;-0.01;0.00;0.00;-0.00;0.00
1.779;0.02;0.00;1.00;0.00;0.00;-0.01;0.00;0.00;-0.00;0.00
1.78;0.02;0.00;1.00;0.00;0.00;-0.01;0.00;0.00;-0.00;0.00
1.781;0.02;0.00;1.00;0.00;0.00;-0.01;0.00;0.00;-0.00;0.00
1.821;0.02;0.00;1.00;0.00;0.00;-0.01;0.00;-0.00;0.00;0.00
1.832;0.02;0.00;1.00;0.00;0.00;-0.01;0.00;-0.00;0.00;0.00
1.851;0.02;0.01;1.00;0.00;0.00;-0.01;0.00;-0.00;0.00;0.00
1.853;0.02;0.00;1.00;0.00;0.00;-0.01;0.00;-0.00;0.00;0.00
1.854;0.02;0.00;1.00;0.00;0.00;-0.01;0.00;-0.00;0.00;0.00
1.855;0.02;0.00;1.00;0.00;0.00;-0.01;0.00;-0.00;0.00;0.00
1.886;0.02;0.00;1.00;0.00;0.00;-0.01;-0.00;-0.00;0.00;0.00
1.892;0.02;0.00;1.00;-0.00;-0.00;0.00;-0.00;-0.00;0.00;0.00
1.918;0.02;0.00;1.00;-0.00;-0.00;0.00;-0.00;-0.00;0.00;0.00
